obs_names,predicted_labels,majority_voting
Foster_2024.SMM12_pos:5247,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM2_pos:6083,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20190122-T:3386,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mgus8:879,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.F:1269,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.60359_Primary:2958,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM5:1802,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.K:3713,Tem/Effector helper T cells,Tem/Effector helper T cells
Kfoury_2021.BMM9:2085,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:10290,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.T:991,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zavidij_2020.SMMl-1:447,NK cells,Tem/Temra cytotoxic T cells
Zheng_2021.P20190322-P:1691,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mgus14:1819,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.U:1176,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.K:4575,MAIT cells,MAIT cells
Liu_2021.58408_SMM:1538,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20181219-T:546,CRTAM+ gamma-delta T cells,CRTAM+ gamma-delta T cells
Foster_2024.HD2_pos:6267,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM4_pos:2083,MAIT cells,MAIT cells
Oetjen_2018.R:918,CRTAM+ gamma-delta T cells,CRTAM+ gamma-delta T cells
Liu_2021.58408_Primary:2477,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.hd7:47,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM11_pos:2166,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-T:820,Type 1 helper T cells,Type 1 helper T cells
Foster_2024.SMM4_neg:2172,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM9_pos:8551,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM13_pos:2122,Regulatory T cells,Regulatory T cells
Foster_2024.SMM4_pos:996,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM4_pos:5225,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Liu_2021.47491_SMM:347,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM9:532,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20181219-T:921,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.83942_Primary:8101,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MGUS1_pos:3773,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM7_neg:237,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.K:4169,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM13_pos:2166,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM7_pos:7765,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.N:4150,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mgus3:1418,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-T:2683,NK cells,NK cells
Zheng_2021.P20190322-T:1954,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.E:190,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.hd6:1348,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.K:1647,MAIT cells,MAIT cells
Kfoury_2021.BMM2:3449,Regulatory T cells,Regulatory T cells
Oetjen_2018.U:3237,Tem/Effector helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:4176,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM6_pos:4699,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zavidij_2020.MM-1:1207,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_neg:1708,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM13_pos:3817,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM2:1431,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MGUS1_pos:5334,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:7799,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:5256,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM7_pos:7787,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MGUS1_neg:4818,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:7059,MAIT cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM1_pos:6347,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:8717,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.37692_Primary:3520,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MM3_pos:1211,Regulatory T cells,Regulatory T cells
Foster_2024.HD1_pos:4225,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM1_neg:3937,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM13_pos:3684,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MGUS1_pos:4516,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM6_pos:6447,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:5296,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_neg:5832,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM4_pos:876,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.K:2999,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.E:724,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.L:3463,Tem/Effector helper T cells,Tem/Effector helper T cells
Bailur_2019.mm11:1542,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM4_pos:1511,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.S_T2:5370,CD16+ NK cells,CD16+ NK cells
Foster_2024.SMM2_pos:1827,Tcm/Naive helper T cells,Tem/Effector helper T cells
Oetjen_2018.S_T2:4348,Tcm/Naive helper T cells,Tem/Effector helper T cells
Oetjen_2018.S_T2:903,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM1_pos:2557,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.47491_Primary:1404,CD16- NK cells,CD16- NK cells
Foster_2024.SMM5_pos:4065,Tcm/Naive cytotoxic T cells,Tcm/Naive helper T cells
Bailur_2019.mgus6:678,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T1:3775,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.U:2163,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.M:1020,NK cells,NK cells
Foster_2024.MM4_pos:3521,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mgus13:1913,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.B:449,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.M:1494,Tcm/Naive helper T cells,Regulatory T cells
Foster_2024.SMM7_pos:2787,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.H:2401,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD2_pos:4343,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.S_T2:2172,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.S_T2:5026,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.T:209,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.HD3_pos:8478,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM1_pos:6908,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.hd7:329,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MM6_pos:7167,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Kfoury_2021.BMM5:2120,Trm cytotoxic T cells,Trm cytotoxic T cells
Foster_2024.SMM11_pos:2287,Trm cytotoxic T cells,Tem/Effector helper T cells
Foster_2024.SMM12_pos:8418,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MGUS1_pos:2245,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM7_pos:7945,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM7_neg:1011,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM13_pos:8680,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:3001,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20181219-T:1294,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.37692_SMM:220,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.K:3620,NK cells,NK cells
Foster_2024.SMM5_pos:2361,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM4_pos:6657,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Granja_2019.BMMC_D1T2:5294,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM8_pos:5466,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.T:1082,MAIT cells,MAIT cells
Foster_2024.MGUS1_pos:5318,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD2_pos:4693,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:863,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:4980,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM4_pos:2123,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.B:2504,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.hd8:369,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Liu_2021.58408_SMM:824,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM5_pos:259,Tem/Trm cytotoxic T cells,Tem/Effector helper T cells
Zheng_2021.P20190322-P:4439,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD2_pos:5060,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_pos:4257,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.U:2980,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.C_T1_S2:864,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM4_pos:8780,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM9:1884,Regulatory T cells,Regulatory T cells
Foster_2024.SMM9_pos:9426,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM8_pos:8308,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:3027,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mgus14:775,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:4445,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM6_pos:302,Treg(diff),Regulatory T cells
Oetjen_2018.S_T2:4838,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM9_pos:5252,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Zavidij_2020.NBM-11:208,MAIT cells,MAIT cells
Foster_2024.SMM12_pos:5359,Tem/Effector helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:3604,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM8_pos:6858,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Bailur_2019.hd8:279,NK cells,NK cells
Foster_2024.HD2_pos:7455,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM2_pos:4692,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM9_pos:11087,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.F:2790,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Zavidij_2020.MM-3:1330,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-T:4937,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_pos:129,Regulatory T cells,Regulatory T cells
Oetjen_2018.S_T1:1718,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM9_pos:7372,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.C_T2:758,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.L:2673,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM4_pos:3452,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM11_pos:8392,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MGUS1_pos:1846,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM7_pos:1940,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190322-T:1335,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM11_pos:8227,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD3_pos:29,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM2_pos:1155,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.P:1362,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM9_pos:6308,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM8_pos:3166,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T2:2464,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.HD2_pos:1826,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM6_pos:3182,Regulatory T cells,Regulatory T cells
Oetjen_2018.R:424,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.60359_Primary:2113,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM2_neg:2693,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Kfoury_2021.BMM4:839,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM4_neg:3331,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM13_pos:8948,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM9_pos:2031,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Zheng_2021.P20190122-T:14,Regulatory T cells,Regulatory T cells
Foster_2024.SMM10_pos:1540,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM10_neg:2803,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mm2:76,Tem/Effector helper T cells,Tem/Effector helper T cells
Liu_2021.37692_Primary:2789,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.A:1119,MAIT cells,MAIT cells
Zheng_2021.P20181219-T:2094,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM6_pos:6744,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM1_pos:5534,NK cells,NK cells
Kfoury_2021.BMM6:1557,Tem/Effector helper T cells,Tem/Effector helper T cells
Kfoury_2021.BMM8:664,Regulatory T cells,Regulatory T cells
Foster_2024.SMM2_neg:1156,Tem/Effector helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM6_pos:4378,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD3_neg:1681,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD2_pos:6460,Tem/Trm cytotoxic T cells,CRTAM+ gamma-delta T cells
Foster_2024.SMM2_pos:4957,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.K:1562,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Zheng_2021.P20190122-T:2267,NK cells,NK cells
Foster_2024.SMM11_pos:7960,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM9:1863,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM9_neg:376,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM12_pos:2652,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T1:760,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM4_pos:2652,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.K:4262,NK cells,NK cells
Foster_2024.SMM2_pos:4596,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM13_pos:4071,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mgus11:510,NK cells,NK cells
Foster_2024.SMM8_neg:4032,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MGUS1_pos:1318,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.60359_Primary:2243,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM10_pos:77,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.A:817,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-T:5089,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM6_pos:1258,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.L:3315,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM9_pos:1823,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM9_pos:10876,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.S_T2:905,Monocytes,NK cells
Foster_2024.SMM14_pos:219,Regulatory T cells,Regulatory T cells
Foster_2024.SMM6_pos:2705,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Liu_2021.47491_SMM:1023,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:11167,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:9173,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:1508,Regulatory T cells,Regulatory T cells
Bailur_2019.mgus6:154,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MGUS1_pos:3703,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.O:4021,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM7_pos:1530,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mm2:445,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Kfoury_2021.BMM2:3649,Trm cytotoxic T cells,Trm cytotoxic T cells
Foster_2024.SMM5_pos:9969,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.R:1136,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.83942_Primary:3528,NK cells,NK cells
Foster_2024.SMM13_pos:12721,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.A:434,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:3712,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:4666,Regulatory T cells,Regulatory T cells
Foster_2024.SMM9_pos:8566,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.P:1517,Tcm/Naive helper T cells,Regulatory T cells
Bailur_2019.mgus7:1513,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.T:2660,Monocytes,Monocytes
Zavidij_2020.MM-4:754,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mm2:644,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM4_pos:3686,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Zheng_2021.P20190322-P:2354,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.U:1212,Monocytes,Tcm/Naive helper T cells
Oetjen_2018.S_T2:4806,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.A:1365,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190322-P:619,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.60359_Primary:2435,Tem/Temra cytotoxic T cells,NK cells
Foster_2024.SMM4_pos:1221,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mm11:99,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM9_pos:6291,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T1:572,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.B:782,Regulatory T cells,Regulatory T cells
Foster_2024.MM4_pos:5663,Tem/Effector helper T cells,Tem/Effector helper T cells
Bailur_2019.mm7:390,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM11_neg:309,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.37692_Primary:2270,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.hd8:1126,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:2833,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.T:1682,Tem/Trm cytotoxic T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:12170,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM4_pos:1253,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.K:6688,Trm cytotoxic T cells,Trm cytotoxic T cells
Bailur_2019.mm1:617,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM8:1963,Regulatory T cells,Regulatory T cells
Foster_2024.SMM1_pos:10718,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM8_pos:5789,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM2_pos:6025,Tem/Temra cytotoxic T cells,NK cells
Foster_2024.SMM12_pos:3478,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM9_pos:5448,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM13_pos:4493,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.A:913,MAIT cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM13_pos:1338,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM2_pos:3430,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Kfoury_2021.BMM8:918,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM4_neg:2880,NK cells,NK cells
Foster_2024.SMM11_pos:4506,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.J:1440,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:1374,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20190322-T:1471,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MGUS1_pos:2673,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mgus6:831,CD16+ NK cells,CD16+ NK cells
Foster_2024.SMM10_pos:2289,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:10605,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM6_pos:410,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T1:4775,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zavidij_2020.MGUS-1:1395,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T1:2529,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MGUS1_pos:795,Tem/Effector helper T cells,Tcm/Naive helper T cells
Liu_2021.60359_Primary:3028,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:6021,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:4110,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T1:2768,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Liu_2021.37692_Primary:3179,NK cells,Tem/Temra cytotoxic T cells
Foster_2024.MGUS1_pos:5618,Regulatory T cells,Regulatory T cells
Liu_2021.77570_Primary:2313,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM6_pos:3791,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.HD1_pos:4271,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190322-P:3640,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mgus14:1030,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.58408_SMM:1298,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM12_pos:4422,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM8_pos:2716,MAIT cells,MAIT cells
Foster_2024.HD1_pos:1033,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_pos:8733,Regulatory T cells,Regulatory T cells
Foster_2024.SMM9_pos:953,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM12_pos:4429,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM14_pos:889,Tem/Effector helper T cells,Tem/Effector helper T cells
