obs_names,predicted_labels,majority_voting
Foster_2024.SMM9_pos:5501,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.hd6:1236,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Kfoury_2021.BMM8:166,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.S_T2:5021,NK cells,NK cells
Foster_2024.SMM1_pos:5222,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM13_pos:4638,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Granja_2019.BMMC_D1T2:546,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.B:1886,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM3_pos:1011,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.W:2262,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD2_pos:3130,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.hd3:729,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mm11:1686,NKT cells,NKT cells
Oetjen_2018.R:1559,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM4_pos:5331,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM4_pos:374,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_neg:2695,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.58408_SMM:1326,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM1_pos:607,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM4_pos:4256,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:7781,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:8507,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD2_pos:4737,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.HD3_pos:1542,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20190322-P:1553,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM2_pos:5926,Tem/Trm cytotoxic T cells,Tem/Effector helper T cells
Kfoury_2021.BMM2:3170,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Granja_2019.BMMC_D1T1:3252,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.C_T1_S1:38,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.S_T1:2371,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.56203_Primary:3492,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM6_pos:1602,MAIT cells,MAIT cells
Foster_2024.MM5_neg:569,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM4_pos:3246,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM7_pos:8641,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM2:3994,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM3_neg:1174,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM12_pos:4471,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM14_neg:53,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM2_pos:1580,Tcm/Naive helper T cells,Tem/Trm cytotoxic T cells
Liu_2021.58408_SMM:1204,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM9_pos:533,Tem/Effector helper T cells,Tem/Effector helper T cells
Kfoury_2021.BMM5:3035,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM5_pos:1900,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.60359_Primary:8,Tcm/Naive helper T cells,Follicular helper T cells
Foster_2024.MM7_pos:1258,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.Q:704,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM8_pos:7263,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:12444,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190322-P:1663,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM6_pos:5766,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM6_neg:1698,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM8_pos:2125,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Bailur_2019.mgus11:2021,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.L:2490,Tem/Effector helper T cells,Tcm/Naive helper T cells
Zavidij_2020.SMMh-9:174,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM4_pos:3582,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM2:1232,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM7_pos:2499,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mm1:1240,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM4_pos:2716,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.S_T1:3226,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zavidij_2020.SMMh-7:11,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T2:824,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-T:380,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM8_pos:3064,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM6_pos:4107,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Liu_2021.58408_SMM:2453,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM12_pos:8039,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM4_pos:1585,Tem/Effector helper T cells,Tem/Effector helper T cells
Liu_2021.77570_Primary:649,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zavidij_2020.MM-7:411,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM7_pos:2860,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:12385,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM8_pos:1280,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.58408_SMM:2340,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.S_T2:1771,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.A:70,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.37692_Primary:83,Tem/Effector helper T cells,Tcm/Naive helper T cells
Foster_2024.MM4_neg:2916,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells
Bailur_2019.mgus6:1718,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190122-T:1660,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM6_pos:555,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.47491_SMM:53,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:4905,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.77570_Primary:3355,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Liu_2021.58408_SMM:1532,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD3_pos:4559,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.SMM8_pos:8644,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM4_pos:1377,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM4_pos:5388,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Oetjen_2018.F:2063,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T1:1238,Tcm/Naive helper T cells,Tem/Effector helper T cells
Foster_2024.SMM10_pos:1080,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:7193,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM2_neg:2915,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM14_pos:13,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM4_pos:5276,NK cells,NK cells
Foster_2024.SMM6_pos:5767,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM6_neg:560,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM6_pos:5838,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Bailur_2019.mgus13:2056,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MGUS1_neg:2984,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM4_pos:2816,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM11_neg:2528,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.N:1682,NK cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM13_pos:11941,Tem/Trm cytotoxic T cells,Tcm/Naive helper T cells
Foster_2024.SMM9_pos:4781,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MM7_pos:6706,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD1_pos:4455,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.C_T2:443,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM4_pos:2750,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM1_pos:5244,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD1_neg:2602,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.M:1910,Tem/Effector helper T cells,Regulatory T cells
Oetjen_2018.M:1521,Monocytes,Tcm/Naive helper T cells
Foster_2024.SMM4_pos:2450,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T2:3269,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM10_pos:2073,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Bailur_2019.mm2:962,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zavidij_2020.SMMh-6:198,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zavidij_2020.SMMh-4:635,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.B:1799,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:6322,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM11_pos:9885,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:9404,Type 1 helper T cells,Type 1 helper T cells
Kfoury_2021.BMM2:860,Tem/Effector helper T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T1:3171,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.HD2_pos:8666,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM12_pos:8312,Type 1 helper T cells,Regulatory T cells
Bailur_2019.mgus4:508,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:4671,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM1_pos:5798,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM4_neg:1488,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Oetjen_2018.L:1761,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Foster_2024.SMM4_pos:4231,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zheng_2021.P20190322-P:936,MAIT cells,MAIT cells
Oetjen_2018.S_T2:4370,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM13_pos:1029,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM6_pos:2381,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Kfoury_2021.BMM6:997,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.W:959,Tcm/Naive cytotoxic T cells,Tcm/Naive cytotoxic T cells
Liu_2021.58408_SMM:2528,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM11_pos:283,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Zavidij_2020.SMMh-4:555,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM5_pos:5488,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM6_pos:4521,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.SMM5_pos:292,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.W:378,Tcm/Naive helper T cells,Tcm/Naive cytotoxic T cells
Foster_2024.MM3_pos:745,CRTAM+ gamma-delta T cells,CRTAM+ gamma-delta T cells
Zheng_2021.P20190122-T:5525,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MM5_pos:2480,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.SMM6_neg:1019,Tem/Trm cytotoxic T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:9111,Tem/Effector helper T cells,Tem/Effector helper T cells
Foster_2024.MM4_pos:4689,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Zheng_2021.P20190322-P:1065,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM3_pos:122,Tem/Effector helper T cells,Tem/Effector helper T cells
Oetjen_2018.S_T2:1334,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM8_pos:6749,Tcm/Naive cytotoxic T cells,Tcm/Naive helper T cells
Granja_2019.BMMC_D1T2:5098,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MGUS1_pos:2640,Regulatory T cells,Regulatory T cells
Oetjen_2018.S_T1:901,Tem/Effector helper T cells,Tem/Effector helper T cells
Bailur_2019.mgus10:197,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.MGUS1_pos:3250,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MM7_pos:5696,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM5_pos:9189,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.MM7_pos:2275,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Foster_2024.HD2_pos:3189,MAIT cells,MAIT cells
Bailur_2019.mgus11:1760,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Foster_2024.MM6_pos:6928,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Foster_2024.SMM8_pos:4988,Tcm/Naive helper T cells,Tcm/Naive helper T cells
Oetjen_2018.U:3389,Tem/Effector helper T cells,Tem/Effector helper T cells
Zheng_2021.P20190322-P:2557,Tem/Temra cytotoxic T cells,Tem/Temra cytotoxic T cells
Liu_2021.60359_Primary:14,Tem/Trm cytotoxic T cells,Tem/Trm cytotoxic T cells
Oetjen_2018.P:1608,Regulatory T cells,Regulatory T cells
Liu_2021.37692_Primary:1412,Tcm/Naive helper T cells,Tcm/Naive helper T cells
