"pt","raw_clonotype_id","CD8A","nonvir10_UCell","exp"
"PT16","clonotype19",0,0.158666666666667,FALSE
"PT16","clonotype34",0.744722750725141,0.3708,FALSE
"PT16","clonotype32",1.76983942540357,0.2863,TRUE
"PT16","clonotype133",2.91815155553238,0.573933333333333,FALSE
"PT16","clonotype119",2.87191151259685,0.349566666666667,FALSE
"PT16","clonotype436",1.40321762080956,0.4236,FALSE
"PT16","clonotype2",2.68292475753929,0.5521,FALSE
"PT16","clonotype2",1.63388939636504,0.4449,FALSE
"PT16","clonotype149",0,0.3554,FALSE
"PT16","clonotype25",2.80491851920479,0.622266666666667,FALSE
"PT16","clonotype206",0,0.1604,FALSE
"PT16","clonotype9",1.01667319493135,0.218666666666667,FALSE
"PT16","clonotype703",1.06272899823301,0.431066666666667,FALSE
"PT16","clonotype2",3.14428358691031,0.2902,FALSE
"PT16","clonotype6",1.8942769909888,0.308933333333333,FALSE
"PT16","clonotype761",0,0.5022,FALSE
"PT16","clonotype2",1.77436079006437,0.256933333333333,FALSE
"PT16","clonotype60",1.67444231845787,0.339833333333333,FALSE
"PT16","clonotype13",0.980523856051278,0.484366666666667,TRUE
"PT16","clonotype7",1.72935282276498,0.534233333333333,FALSE
"PT16","clonotype6",1.5614230992647,0.182366666666667,FALSE
"PT16","clonotype1",1.6950714816351,0.508566666666667,FALSE
"PT16","clonotype728",0,0,FALSE
"PT16","clonotype614",1.58325815583595,0.264133333333333,FALSE
"PT16","clonotype13",1.89144002450821,0.498033333333333,TRUE
"PT16","clonotype2",1.87364852363421,0.299433333333333,FALSE
"PT16","clonotype143",0,0,FALSE
"PT16","clonotype37",1.46140186255258,0.225433333333333,FALSE
"PT16","clonotype552",0,0.214266666666667,FALSE
"PT16","clonotype4",0,0.525866666666667,FALSE
"PT16","clonotype623",0,0.0834,FALSE
"PT16","clonotype104",0,0.349533333333333,FALSE
"PT16","clonotype27",2.99631434100434,0.247066666666667,FALSE
"PT16","clonotype254",0,0.250733333333333,FALSE
"PT16","clonotype28",2.018666652505,0.4305,FALSE
"PT16","clonotype155",1.25571148825315,0.3108,FALSE
"PT16","clonotype8",1.63450155965234,0.1582,FALSE
