,gene
IGKV3-20,IGKV3-20
IGKV3-7,IGKV3-7
IGKV3D-11,IGKV3D-11
IGKV3D-15,IGKV3D-15
IGKV3D-20,IGKV3D-20
IGKV3D-7,IGKV3D-7
IGKV3OR2-268,IGKV3OR2-268
IGKV4-1,IGKV4-1
IGKV5-2,IGKV5-2
IGKV6-21,IGKV6-21
IGKV6D-21,IGKV6D-21
IGKV6D-41,IGKV6D-41
IGKV7-3,IGKV7-3
IGLC1,IGLC1
IGLC2,IGLC2
IGLC3,IGLC3
IGLC4,IGLC4
IGLC5,IGLC5
IGLC6,IGLC6
IGLC7,IGLC7
IGLJ1,IGLJ1
IGLJ2,IGLJ2
IGLJ3,IGLJ3
IGLJ5,IGLJ5
IGLJ7,IGLJ7
IGLL1,IGLL1
IGLL5,IGLL5
IGLON5,IGLON5
IGLV1-36,IGLV1-36
IGLV1-40,IGLV1-40
IGLV1-41,IGLV1-41
IGLV1-44,IGLV1-44
IGLV1-47,IGLV1-47
IGLV1-50,IGLV1-50
IGLV1-51,IGLV1-51
IGLV10-54,IGLV10-54
IGLV11-55,IGLV11-55
IGLV2-11,IGLV2-11
IGLV2-14,IGLV2-14
IGLV2-18,IGLV2-18
IGLV2-23,IGLV2-23
IGLV2-28,IGLV2-28
IGLV2-33,IGLV2-33
IGLV2-34,IGLV2-34
IGLV2-5,IGLV2-5
IGLV2-8,IGLV2-8
IGLV3-1,IGLV3-1
IGLV3-10,IGLV3-10
IGLV3-12,IGLV3-12
IGLV3-13,IGLV3-13
IGLV3-15,IGLV3-15
IGLV3-16,IGLV3-16
IGLV3-17,IGLV3-17
IGLV3-19,IGLV3-19
IGLV3-21,IGLV3-21
IGLV3-22,IGLV3-22
IGLV3-24,IGLV3-24
IGLV3-25,IGLV3-25
IGLV3-27,IGLV3-27
IGLV3-31,IGLV3-31
IGLV3-32,IGLV3-32
IGLV3-4,IGLV3-4
IGLV3-6,IGLV3-6
IGLV3-7,IGLV3-7
IGLV3-9,IGLV3-9
IGLV4-3,IGLV4-3
IGLV4-60,IGLV4-60
IGLV4-69,IGLV4-69
IGLV5-37,IGLV5-37
IGLV5-45,IGLV5-45
IGLV5-48,IGLV5-48
IGLV5-52,IGLV5-52
IGLV6-57,IGLV6-57
IGLV7-35,IGLV7-35
IGLV7-43,IGLV7-43
IGLV7-46,IGLV7-46
IGLV8-61,IGLV8-61
IGLV9-49,IGLV9-49
IGLVI-20,IGLVI-20
IGLVI-70,IGLVI-70
IGLVIV-66-1,IGLVIV-66-1
IGLVIVOR22-2,IGLVIVOR22-2
