obs_names,subclus,leiden_recl
Foster_2024.SMM12_pos:4365,Invar,1
Foster_2024.SMM12_pos:4377,Invar,1
Foster_2024.SMM12_pos:4384,Invar,0
Foster_2024.SMM12_pos:4418,Invar,0
Foster_2024.SMM12_pos:4560,Invar,1
Foster_2024.SMM12_pos:4622,Invar,1
Foster_2024.SMM12_pos:4674,Invar,0
Foster_2024.SMM12_pos:4875,Invar,1
Foster_2024.SMM12_pos:4931,Invar,1
Foster_2024.SMM12_pos:5162,Invar,1
Foster_2024.SMM12_pos:5638,Invar,1
Foster_2024.SMM12_pos:6157,Invar,1
Foster_2024.SMM12_pos:6337,Invar,0
Foster_2024.SMM12_pos:6410,Invar,1
Foster_2024.SMM12_pos:6475,Invar,1
Foster_2024.SMM12_pos:6608,Invar,1
Foster_2024.SMM12_pos:6660,Invar,1
Foster_2024.SMM12_pos:7001,Invar,3
Foster_2024.SMM12_pos:7140,Invar,1
Foster_2024.SMM12_pos:7216,Invar,1
Foster_2024.SMM12_pos:7451,Invar,1
Foster_2024.SMM12_pos:7577,Invar,1
Foster_2024.SMM12_pos:7614,Invar,1
Foster_2024.SMM12_pos:7762,Invar,1
Foster_2024.SMM12_pos:7790,Invar,1
Foster_2024.SMM12_pos:7948,Invar,1
Foster_2024.SMM12_pos:8353,Invar,1
Foster_2024.SMM12_pos:8354,Invar,1
Foster_2024.SMM12_pos:8433,Invar,1
Foster_2024.SMM12_pos:8458,Invar,1
Foster_2024.SMM12_pos:8495,Invar,1
Foster_2024.SMM6_neg:282,Invar,1
Foster_2024.SMM6_neg:389,Invar,1
Foster_2024.SMM6_neg:612,Invar,1
Foster_2024.SMM6_neg:619,Invar,1
Foster_2024.SMM6_neg:633,Invar,0
Foster_2024.SMM6_neg:652,Invar,1
Foster_2024.SMM6_neg:661,Invar,2
Foster_2024.SMM6_neg:970,Invar,0
Foster_2024.SMM6_neg:1076,Invar,1
Foster_2024.SMM6_neg:1091,Invar,0
Foster_2024.SMM6_neg:1130,Invar,0
Foster_2024.SMM6_neg:1201,Invar,1
Foster_2024.SMM6_neg:1395,Invar,3
Foster_2024.SMM6_neg:1523,Invar,1
Foster_2024.SMM6_neg:1758,Invar,0
Foster_2024.SMM6_neg:1844,Invar,1
Foster_2024.SMM6_neg:1881,Invar,1
Foster_2024.SMM6_neg:1993,Invar,1
Foster_2024.SMM6_neg:2062,Invar,2
Foster_2024.SMM6_neg:2099,Invar,1
Foster_2024.SMM6_neg:2163,Invar,0
Foster_2024.SMM6_neg:2202,Invar,2
Foster_2024.SMM6_neg:2239,Invar,1
