pathway,pathway_neat,gene
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,E2F1
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,USP1
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,DNMT1
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,PKMYT1
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,MAD2L1
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,PSMC3IP
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,CDCA4
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,RFC2
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,CDC45
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,UHRF1
MP2  Cell Cycle - G1/S,Cell Cycle - G1/S,MCM2
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,STMN1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,TUBA1B
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,H2AFZ
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,DUT
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,TUBB
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,PCNA
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HMGB2
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,KIAA0101
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HMGB1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,RANBP1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,RAN
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,TYMS
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,H2AFV
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SLC25A5
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,CKS1B
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SNRPG
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,COX8A
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HSPE1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SNRPB
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,ANAPC11
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SLIRP
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HMGN1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,NAA38
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SNRPD1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SNRPE
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,ATP5G3
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HIST1H4C
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HSPD1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,NME1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,TK1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HMGN2
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,MIF
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SNRPF
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,ATP5G1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,TPI1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,COX5A
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,ERH
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HMGA1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HNRNPA2B1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,MCM7
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,NUCB2
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SIVA1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SRSF7
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,YBX1
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,LSM4
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,ANP32B
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,UQCRQ
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,HSPB11
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SUMO2
MP3  Cell Cylce HMG-rich,Cell Cycle HMG-rich,SNRPD3
MP4  Chromatin,Chromatin,MT-ND6
MP4  Chromatin,Chromatin,DST
MP4  Chromatin,Chromatin,SMARCA5
MP4  Chromatin,Chromatin,SPEN
MP4  Chromatin,Chromatin,PCM1
MP4  Chromatin,Chromatin,GOLGA4
MP4  Chromatin,Chromatin,GOLGB1
MP4  Chromatin,Chromatin,KCNQ1OT1
MP4  Chromatin,Chromatin,PHF3
MP4  Chromatin,Chromatin,PTPN11
MP4  Chromatin,Chromatin,TRIM44
MP4  Chromatin,Chromatin,ZNF638
MP4  Chromatin,Chromatin,CEP350
MP4  Chromatin,Chromatin,GOLIM4
MP4  Chromatin,Chromatin,HIST1H1E
MP4  Chromatin,Chromatin,MSH6
MP4  Chromatin,Chromatin,ROCK2
MP4  Chromatin,Chromatin,SMC1A
MP4  Chromatin,Chromatin,SMCHD1
MP4  Chromatin,Chromatin,ASH1L
MP4  Chromatin,Chromatin,ATAD2
MP4  Chromatin,Chromatin,ATAD5
MP4  Chromatin,Chromatin,BAZ1B
MP4  Chromatin,Chromatin,NOP14
MP4  Chromatin,Chromatin,RIF1
MP4  Chromatin,Chromatin,SYNE2
MP4  Chromatin,Chromatin,TJP1
MP4  Chromatin,Chromatin,TRIP11
MP4  Chromatin,Chromatin,ENAH
MP4  Chromatin,Chromatin,HIST1H1C
MP4  Chromatin,Chromatin,HIST2H2AC
MP4  Chromatin,Chromatin,NRD1
