pathway,pathway_neat,gene
MP23 Secreted II,Secreted II,BPIFB1
MP23 Secreted II,Secreted II,CFB
MP23 Secreted II,Secreted II,KLK11
MP23 Secreted II,Secreted II,PDZK1IP1
MP23 Secreted II,Secreted II,SAA2
MP23 Secreted II,Secreted II,SLPI
MP23 Secreted II,Secreted II,TSPAN1
MP23 Secreted II,Secreted II,CXCL2
MP23 Secreted II,Secreted II,ELF3
MP23 Secreted II,Secreted II,LTF
MP23 Secreted II,Secreted II,PIGR
MP23 Secreted II,Secreted II,SCGB3A1
MP23 Secreted II,Secreted II,TFF3
MP23 Secreted II,Secreted II,TGM2
MP23 Secreted II,Secreted II,AKR1C1
MP23 Secreted II,Secreted II,CD24
MP23 Secreted II,Secreted II,CLDN4
MP23 Secreted II,Secreted II,CTSC
MP23 Secreted II,Secreted II,GSTA1
MP23 Secreted II,Secreted II,KRT19
MP23 Secreted II,Secreted II,MMP7
MP23 Secreted II,Secreted II,MSMB
MP23 Secreted II,Secreted II,NCOA7
MP23 Secreted II,Secreted II,S100A9
MP23 Secreted II,Secreted II,SCGB1A1
MP23 Secreted II,Secreted II,SPINK1
MP23 Secreted II,Secreted II,IGFBP3
MP23 Secreted II,Secreted II,VMO1
MP23 Secreted II,Secreted II,MUC5B
MP23 Secreted II,Secreted II,SERPINF1
MP23 Secreted II,Secreted II,TNFSF10
MP23 Secreted II,Secreted II,FMO2
MP23 Secreted II,Secreted II,FAM3D
MP23 Secreted II,Secreted II,PRSS23
MP23 Secreted II,Secreted II,RDH10
MP23 Secreted II,Secreted II,CD82
MP23 Secreted II,Secreted II,RARRES1
MP23 Secreted II,Secreted II,KYNU
MP23 Secreted II,Secreted II,NDRG2
MP24 Cilia,Cilia,C9ORF116
MP24 Cilia,Cilia,CAPS
MP24 Cilia,Cilia,RSPH1
MP24 Cilia,Cilia,TPPP3
MP24 Cilia,Cilia,FAM183A
MP24 Cilia,Cilia,MORN2
MP24 Cilia,Cilia,WDR54
MP24 Cilia,Cilia,CETN2
MP24 Cilia,Cilia,ODF3B
MP24 Cilia,Cilia,C9ORF24
MP24 Cilia,Cilia,PIFO
MP24 Cilia,Cilia,C11ORF88
MP24 Cilia,Cilia,C5ORF49
MP24 Cilia,Cilia,DYNLRB2
MP24 Cilia,Cilia,C1ORF194
MP24 Cilia,Cilia,EFHC1
MP24 Cilia,Cilia,FAM229B
MP24 Cilia,Cilia,IQCG
MP24 Cilia,Cilia,PSENEN
MP24 Cilia,Cilia,SPA17
MP24 Cilia,Cilia,TSPAN1
MP24 Cilia,Cilia,C20ORF85
MP24 Cilia,Cilia,DNALI1
MP24 Cilia,Cilia,FOXJ1
MP24 Cilia,Cilia,LRRC23
MP24 Cilia,Cilia,LRRIQ1
MP24 Cilia,Cilia,IGFBP7
MP24 Cilia,Cilia,MS4A8
MP24 Cilia,Cilia,TCTEX1D2
MP24 Cilia,Cilia,DPCD
MP24 Cilia,Cilia,KIF9
MP24 Cilia,Cilia,TUBA1A
MP24 Cilia,Cilia,FABP6
MP24 Cilia,Cilia,MRPS31
MP24 Cilia,Cilia,ZMYND10
MP24 Cilia,Cilia,C12ORF75
MP24 Cilia,Cilia,CAPSL
MP24 Cilia,Cilia,CES1
MP24 Cilia,Cilia,DNAAF1
MP24 Cilia,Cilia,IFT57
MP24 Cilia,Cilia,IGFBP2
MP24 Cilia,Cilia,MLF1
MP24 Cilia,Cilia,OSCP1
MP24 Cilia,Cilia,PLAC8
MP24 Cilia,Cilia,DNAH5
MP24 Cilia,Cilia,CRIP1
MP24 Cilia,Cilia,RP11-295M3.4
MP24 Cilia,Cilia,GSTA1
MP24 Cilia,Cilia,SLC44A4
MP24 Cilia,Cilia,NUCB2
MP25 Astrocytes,Astrocytes,SPARCL1
MP25 Astrocytes,Astrocytes,GFAP
MP25 Astrocytes,Astrocytes,CLU
MP25 Astrocytes,Astrocytes,CRYAB
MP25 Astrocytes,Astrocytes,TTYH1
MP25 Astrocytes,Astrocytes,SLC1A3
MP25 Astrocytes,Astrocytes,CST3
MP25 Astrocytes,Astrocytes,ID3
MP25 Astrocytes,Astrocytes,AGT
MP25 Astrocytes,Astrocytes,APOE
MP25 Astrocytes,Astrocytes,EDNRB
MP25 Astrocytes,Astrocytes,ALDOC
MP25 Astrocytes,Astrocytes,AQP4
MP25 Astrocytes,Astrocytes,GATM
MP25 Astrocytes,Astrocytes,NDRG2
MP25 Astrocytes,Astrocytes,SPARC
MP25 Astrocytes,Astrocytes,MT2A
MP25 Astrocytes,Astrocytes,MT3
MP25 Astrocytes,Astrocytes,BCAN
MP25 Astrocytes,Astrocytes,HEPN1
MP25 Astrocytes,Astrocytes,NTRK2
MP25 Astrocytes,Astrocytes,PMP2
MP25 Astrocytes,Astrocytes,PON2
MP25 Astrocytes,Astrocytes,ATP1A2
MP25 Astrocytes,Astrocytes,HEY1
MP25 Astrocytes,Astrocytes,MLC1
MP25 Astrocytes,Astrocytes,PLTP
MP25 Astrocytes,Astrocytes,ATP1B2
MP25 Astrocytes,Astrocytes,ITM2C
MP25 Astrocytes,Astrocytes,MT1X
MP25 Astrocytes,Astrocytes,VIM
MP25 Astrocytes,Astrocytes,S100B
MP25 Astrocytes,Astrocytes,AHCYL1
MP25 Astrocytes,Astrocytes,RAMP1
MP25 Astrocytes,Astrocytes,SCRG1
MP25 Astrocytes,Astrocytes,C1ORF61
MP25 Astrocytes,Astrocytes,IGFBP7
MP25 Astrocytes,Astrocytes,RASSF4
MP25 Astrocytes,Astrocytes,ID1
MP25 Astrocytes,Astrocytes,IFITM3
MP25 Astrocytes,Astrocytes,CPE
MP25 Astrocytes,Astrocytes,CD9
MP25 Astrocytes,Astrocytes,FABP7
MP25 Astrocytes,Astrocytes,GRAMD3
MP25 Astrocytes,Astrocytes,ZFP36
MP25 Astrocytes,Astrocytes,F3
MP25 Astrocytes,Astrocytes,PLP1
MP25 Astrocytes,Astrocytes,ID4
MP25 Astrocytes,Astrocytes,PSAT1
MP25 Astrocytes,Astrocytes,GJA1
MP26 NPC Glioma,NPC Glioma,STMN2
MP26 NPC Glioma,NPC Glioma,DCX
MP26 NPC Glioma,NPC Glioma,STMN4
MP26 NPC Glioma,NPC Glioma,TAGLN3
MP26 NPC Glioma,NPC Glioma,ELAVL4
MP26 NPC Glioma,NPC Glioma,MLLT11
MP26 NPC Glioma,NPC Glioma,NREP
MP26 NPC Glioma,NPC Glioma,MIAT
MP26 NPC Glioma,NPC Glioma,TUBB2A
MP26 NPC Glioma,NPC Glioma,CD24
MP26 NPC Glioma,NPC Glioma,HMP19
MP26 NPC Glioma,NPC Glioma,RND3
MP26 NPC Glioma,NPC Glioma,SOX11
MP26 NPC Glioma,NPC Glioma,SOX4
MP26 NPC Glioma,NPC Glioma,TUBB3
MP26 NPC Glioma,NPC Glioma,MAP1B
MP26 NPC Glioma,NPC Glioma,NSG1
MP26 NPC Glioma,NPC Glioma,SNAP25
MP26 NPC Glioma,NPC Glioma,FNBP1L
MP26 NPC Glioma,NPC Glioma,HN1
MP26 NPC Glioma,NPC Glioma,IGFBPL1
MP26 NPC Glioma,NPC Glioma,PKIA
MP26 NPC Glioma,NPC Glioma,NNAT
MP26 NPC Glioma,NPC Glioma,RBP1
MP26 NPC Glioma,NPC Glioma,SCG3
MP26 NPC Glioma,NPC Glioma,DLX6-AS1
MP26 NPC Glioma,NPC Glioma,KLHDC8A
MP26 NPC Glioma,NPC Glioma,MEG3
MP26 NPC Glioma,NPC Glioma,RBFOX2
MP26 NPC Glioma,NPC Glioma,SCG2
MP26 NPC Glioma,NPC Glioma,STMN1
MP26 NPC Glioma,NPC Glioma,TMEM161B-AS1
MP26 NPC Glioma,NPC Glioma,ARL4D
MP26 NPC Glioma,NPC Glioma,BEX2
MP26 NPC Glioma,NPC Glioma,DDAH2
MP26 NPC Glioma,NPC Glioma,DLX5
MP26 NPC Glioma,NPC Glioma,GAP43
MP26 NPC Glioma,NPC Glioma,CRMP1
MP26 NPC Glioma,NPC Glioma,ENO2
MP26 NPC Glioma,NPC Glioma,TCEAL7
MP26 NPC Glioma,NPC Glioma,UCHL1
MP26 NPC Glioma,NPC Glioma,BASP1
MP26 NPC Glioma,NPC Glioma,CXADR
MP26 NPC Glioma,NPC Glioma,GNG3
MP26 NPC Glioma,NPC Glioma,GPC2
MP26 NPC Glioma,NPC Glioma,KIF5C
MP26 NPC Glioma,NPC Glioma,PAK3
MP26 NPC Glioma,NPC Glioma,RTN1
MP26 NPC Glioma,NPC Glioma,TERF2IP
MP26 NPC Glioma,NPC Glioma,SYT1
MP27 Oligo Progenitor,Oligo Progenitor,SIRT2
MP27 Oligo Progenitor,Oligo Progenitor,GPR17
MP27 Oligo Progenitor,Oligo Progenitor,OLIG1
MP27 Oligo Progenitor,Oligo Progenitor,APOD
MP27 Oligo Progenitor,Oligo Progenitor,DLL3
MP27 Oligo Progenitor,Oligo Progenitor,PLP1
MP27 Oligo Progenitor,Oligo Progenitor,NEU4
MP27 Oligo Progenitor,Oligo Progenitor,BCAN
MP27 Oligo Progenitor,Oligo Progenitor,SOX8
MP27 Oligo Progenitor,Oligo Progenitor,TNR
MP27 Oligo Progenitor,Oligo Progenitor,OMG
MP27 Oligo Progenitor,Oligo Progenitor,TMEM206
MP27 Oligo Progenitor,Oligo Progenitor,LPPR1
MP27 Oligo Progenitor,Oligo Progenitor,NKAIN4
MP27 Oligo Progenitor,Oligo Progenitor,FIBIN
MP27 Oligo Progenitor,Oligo Progenitor,SGK1
MP27 Oligo Progenitor,Oligo Progenitor,SLC1A1
MP27 Oligo Progenitor,Oligo Progenitor,CA10
MP27 Oligo Progenitor,Oligo Progenitor,LMF1
MP27 Oligo Progenitor,Oligo Progenitor,PTGDS
MP27 Oligo Progenitor,Oligo Progenitor,SERINC5
MP27 Oligo Progenitor,Oligo Progenitor,ASCL1
MP27 Oligo Progenitor,Oligo Progenitor,DLL1
MP27 Oligo Progenitor,Oligo Progenitor,OLIG2
MP27 Oligo Progenitor,Oligo Progenitor,PSAT1
MP27 Oligo Progenitor,Oligo Progenitor,RAB33A
MP27 Oligo Progenitor,Oligo Progenitor,SCRG1
MP27 Oligo Progenitor,Oligo Progenitor,CNP
MP27 Oligo Progenitor,Oligo Progenitor,LIMA1
MP27 Oligo Progenitor,Oligo Progenitor,THY1
MP27 Oligo Progenitor,Oligo Progenitor,TUBB4A
MP27 Oligo Progenitor,Oligo Progenitor,BCAS1
MP27 Oligo Progenitor,Oligo Progenitor,CNTN1
MP27 Oligo Progenitor,Oligo Progenitor,HES6
MP27 Oligo Progenitor,Oligo Progenitor,LHFPL3
MP27 Oligo Progenitor,Oligo Progenitor,PDGFRA
MP27 Oligo Progenitor,Oligo Progenitor,RGR
MP27 Oligo Progenitor,Oligo Progenitor,SCD5
MP27 Oligo Progenitor,Oligo Progenitor,ANGPTL2
MP27 Oligo Progenitor,Oligo Progenitor,DHCR7
MP27 Oligo Progenitor,Oligo Progenitor,FGF12
MP27 Oligo Progenitor,Oligo Progenitor,MPZL1
MP27 Oligo Progenitor,Oligo Progenitor,MSMO1
MP27 Oligo Progenitor,Oligo Progenitor,P2RX7
MP27 Oligo Progenitor,Oligo Progenitor,RTKN
MP27 Oligo Progenitor,Oligo Progenitor,TNFRSF21
MP27 Oligo Progenitor,Oligo Progenitor,SMOC1
MP27 Oligo Progenitor,Oligo Progenitor,ACAT2
MP27 Oligo Progenitor,Oligo Progenitor,FDFT1
MP27 Oligo Progenitor,Oligo Progenitor,PGRMC1
MP28 Oligo normal,Oligo normal,APOD
MP28 Oligo normal,Oligo normal,MBP
MP28 Oligo normal,Oligo normal,PLA2G16
MP28 Oligo normal,Oligo normal,PLP1
MP28 Oligo normal,Oligo normal,PPP1R14A
MP28 Oligo normal,Oligo normal,SEPP1
MP28 Oligo normal,Oligo normal,TF
MP28 Oligo normal,Oligo normal,GSN
MP28 Oligo normal,Oligo normal,PTGDS
MP28 Oligo normal,Oligo normal,APLP1
MP28 Oligo normal,Oligo normal,CLDN11
MP28 Oligo normal,Oligo normal,CLDND1
MP28 Oligo normal,Oligo normal,CNP
MP28 Oligo normal,Oligo normal,RNASE1
MP28 Oligo normal,Oligo normal,SCD
MP28 Oligo normal,Oligo normal,Sep-04
MP28 Oligo normal,Oligo normal,ANLN
MP28 Oligo normal,Oligo normal,CRYAB
MP28 Oligo normal,Oligo normal,ELOVL1
MP28 Oligo normal,Oligo normal,HSPA2
MP28 Oligo normal,Oligo normal,PLLP
MP28 Oligo normal,Oligo normal,SIRT2
MP28 Oligo normal,Oligo normal,SLC44A1
MP28 Oligo normal,Oligo normal,BIN1
MP28 Oligo normal,Oligo normal,CMTM5
MP28 Oligo normal,Oligo normal,ERMN
MP28 Oligo normal,Oligo normal,FAM107B
MP28 Oligo normal,Oligo normal,LARP6
MP28 Oligo normal,Oligo normal,LHPP
MP28 Oligo normal,Oligo normal,MAG
MP28 Oligo normal,Oligo normal,MOBP
MP28 Oligo normal,Oligo normal,PLEKHB1
MP28 Oligo normal,Oligo normal,QDPR
MP28 Oligo normal,Oligo normal,S100A1
MP28 Oligo normal,Oligo normal,SLAIN1
MP28 Oligo normal,Oligo normal,SLC48A1
MP28 Oligo normal,Oligo normal,TUBB4A
MP28 Oligo normal,Oligo normal,TMEM144
MP28 Oligo normal,Oligo normal,ABCA2
MP28 Oligo normal,Oligo normal,CA2
MP28 Oligo normal,Oligo normal,KLK6
MP28 Oligo normal,Oligo normal,MAL
MP28 Oligo normal,Oligo normal,SPOCK3
MP28 Oligo normal,Oligo normal,HAPLN2
MP28 Oligo normal,Oligo normal,UGT8
MP28 Oligo normal,Oligo normal,STMN4
MP28 Oligo normal,Oligo normal,ATP1B1
MP28 Oligo normal,Oligo normal,Sep-08
MP28 Oligo normal,Oligo normal,PACS2
MP28 Oligo normal,Oligo normal,ANKS1B
MP29 NPC/OPC,NPC/OPC,BTG2
MP29 NPC/OPC,NPC/OPC,SOX6
MP29 NPC/OPC,NPC/OPC,BAZ2B
MP29 NPC/OPC,NPC/OPC,SOX4
MP29 NPC/OPC,NPC/OPC,DSEL
MP29 NPC/OPC,NPC/OPC,MXD4
MP29 NPC/OPC,NPC/OPC,PNRC1
MP29 NPC/OPC,NPC/OPC,SOX5
MP29 NPC/OPC,NPC/OPC,CHD7
MP29 NPC/OPC,NPC/OPC,GRIA2
MP29 NPC/OPC,NPC/OPC,MAP3K1
MP29 NPC/OPC,NPC/OPC,OLIG1
MP29 NPC/OPC,NPC/OPC,SESN3
MP29 NPC/OPC,NPC/OPC,UBE2H
MP29 NPC/OPC,NPC/OPC,ABAT
MP29 NPC/OPC,NPC/OPC,DCX
MP29 NPC/OPC,NPC/OPC,DOCK10
MP29 NPC/OPC,NPC/OPC,GLCCI1
MP29 NPC/OPC,NPC/OPC,KCNQ1OT1
MP29 NPC/OPC,NPC/OPC,KDM5B
MP29 NPC/OPC,NPC/OPC,KLHL24
MP29 NPC/OPC,NPC/OPC,MAP2
MP29 NPC/OPC,NPC/OPC,OLIG2
MP29 NPC/OPC,NPC/OPC,PEAK1
MP29 NPC/OPC,NPC/OPC,RAB3IP
MP29 NPC/OPC,NPC/OPC,RFTN2
MP29 NPC/OPC,NPC/OPC,RFX4
MP29 NPC/OPC,NPC/OPC,TANC2
MP29 NPC/OPC,NPC/OPC,TRIO
MP29 NPC/OPC,NPC/OPC,VCAN
MP29 NPC/OPC,NPC/OPC,ZNF91
MP29 NPC/OPC,NPC/OPC,FAM181B
MP29 NPC/OPC,NPC/OPC,STMN4
MP29 NPC/OPC,NPC/OPC,DLL3
MP29 NPC/OPC,NPC/OPC,BTG1
MP29 NPC/OPC,NPC/OPC,TXNIP
MP29 NPC/OPC,NPC/OPC,LDLRAD3
MP29 NPC/OPC,NPC/OPC,SOX11
MP29 NPC/OPC,NPC/OPC,HIP1
MP29 NPC/OPC,NPC/OPC,FGFBP3
MP29 NPC/OPC,NPC/OPC,MTSS1
MP29 NPC/OPC,NPC/OPC,SPRY4
MP29 NPC/OPC,NPC/OPC,REV3L
MP29 NPC/OPC,NPC/OPC,MMP16
MP29 NPC/OPC,NPC/OPC,KLF12
MP29 NPC/OPC,NPC/OPC,TFDP2
MP29 NPC/OPC,NPC/OPC,CADM2
MP29 NPC/OPC,NPC/OPC,ARHGEF7
MP29 NPC/OPC,NPC/OPC,GOLGB1
MP29 NPC/OPC,NPC/OPC,ZMYM2
MP30 PDAC-classical,PDAC-classical,TFF1
MP30 PDAC-classical,PDAC-classical,TFF3
MP30 PDAC-classical,PDAC-classical,CEACAM6
MP30 PDAC-classical,PDAC-classical,AGR2
MP30 PDAC-classical,PDAC-classical,LGALS4
MP30 PDAC-classical,PDAC-classical,PHGR1
MP30 PDAC-classical,PDAC-classical,PLAC8
MP30 PDAC-classical,PDAC-classical,SLC40A1
MP30 PDAC-classical,PDAC-classical,TM4SF4
MP30 PDAC-classical,PDAC-classical,TSPAN8
MP30 PDAC-classical,PDAC-classical,ANXA10
MP30 PDAC-classical,PDAC-classical,LYZ
MP30 PDAC-classical,PDAC-classical,TFF2
MP30 PDAC-classical,PDAC-classical,CTSE
MP30 PDAC-classical,PDAC-classical,GCNT3
MP30 PDAC-classical,PDAC-classical,GPX2
MP30 PDAC-classical,PDAC-classical,MUC13
MP30 PDAC-classical,PDAC-classical,MUC5AC
MP30 PDAC-classical,PDAC-classical,MUC5B
MP30 PDAC-classical,PDAC-classical,PIGR
MP30 PDAC-classical,PDAC-classical,CEACAM5
MP30 PDAC-classical,PDAC-classical,CLDN18
MP30 PDAC-classical,PDAC-classical,FAM3D
MP30 PDAC-classical,PDAC-classical,SPINK1
MP30 PDAC-classical,PDAC-classical,AGR3
MP30 PDAC-classical,PDAC-classical,DUOX2
MP30 PDAC-classical,PDAC-classical,PLA2G10
MP30 PDAC-classical,PDAC-classical,REG4
MP30 PDAC-classical,PDAC-classical,DUOXA2
MP30 PDAC-classical,PDAC-classical,PDE4C
MP30 PDAC-classical,PDAC-classical,PSCA
MP30 PDAC-classical,PDAC-classical,TSPAN1
MP30 PDAC-classical,PDAC-classical,VSIG2
MP30 PDAC-classical,PDAC-classical,CA2
MP30 PDAC-classical,PDAC-classical,HPGD
MP30 PDAC-classical,PDAC-classical,DPCR1
MP30 PDAC-classical,PDAC-classical,OLFM4
MP30 PDAC-classical,PDAC-classical,AKR7A3
MP30 PDAC-classical,PDAC-classical,CDH17
MP30 PDAC-classical,PDAC-classical,FXYD3
MP30 PDAC-classical,PDAC-classical,PDZK1IP1
MP30 PDAC-classical,PDAC-classical,TCN1
MP30 PDAC-classical,PDAC-classical,CEACAM1
MP30 PDAC-classical,PDAC-classical,ISG20
MP30 PDAC-classical,PDAC-classical,LINC01133
MP30 PDAC-classical,PDAC-classical,SLC44A4
MP30 PDAC-classical,PDAC-classical,VSIG1
MP30 PDAC-classical,PDAC-classical,CEACAM7
MP30 PDAC-classical,PDAC-classical,CXCL17
MP30 PDAC-classical,PDAC-classical,CES2
MP31 Alveolar,Alveolar,SFTPA1
MP31 Alveolar,Alveolar,SFTPA2
MP31 Alveolar,Alveolar,SFTPD
MP31 Alveolar,Alveolar,LRRK2
MP31 Alveolar,Alveolar,PGC
MP31 Alveolar,Alveolar,SFTPC
MP31 Alveolar,Alveolar,C4BPA
MP31 Alveolar,Alveolar,SFTPB
MP31 Alveolar,Alveolar,AQP1
MP31 Alveolar,Alveolar,ABCA3
MP31 Alveolar,Alveolar,PEBP4
MP31 Alveolar,Alveolar,SCD
MP31 Alveolar,Alveolar,HSD17B6
MP31 Alveolar,Alveolar,MFSD2A
MP31 Alveolar,Alveolar,NAPSA
MP31 Alveolar,Alveolar,NNMT
MP31 Alveolar,Alveolar,PIGR
MP31 Alveolar,Alveolar,SCGB3A2
MP31 Alveolar,Alveolar,SERPINA1
MP31 Alveolar,Alveolar,SPINK5
MP31 Alveolar,Alveolar,C16ORF89
MP31 Alveolar,Alveolar,C3
MP31 Alveolar,Alveolar,CACNA2D2
MP31 Alveolar,Alveolar,EPHX1
MP31 Alveolar,Alveolar,MID1IP1
MP31 Alveolar,Alveolar,RNASE1
MP31 Alveolar,Alveolar,ALPL
MP31 Alveolar,Alveolar,DHCR24
MP31 Alveolar,Alveolar,HOPX
MP31 Alveolar,Alveolar,LPCAT1
MP31 Alveolar,Alveolar,SCGB3A1
MP31 Alveolar,Alveolar,SFTA2
MP31 Alveolar,Alveolar,PTPN13
MP31 Alveolar,Alveolar,S100A9
MP31 Alveolar,Alveolar,SFTA3
MP31 Alveolar,Alveolar,SUSD2
MP31 Alveolar,Alveolar,DMBT1
MP31 Alveolar,Alveolar,NPC2
MP31 Alveolar,Alveolar,SLC22A31
MP31 Alveolar,Alveolar,TFPI
MP31 Alveolar,Alveolar,ALOX15B
MP31 Alveolar,Alveolar,SLPI
MP31 Alveolar,Alveolar,SFTA1P
MP31 Alveolar,Alveolar,AK1
MP31 Alveolar,Alveolar,DUOX1
MP31 Alveolar,Alveolar,FASN
MP31 Alveolar,Alveolar,FABP5
MP31 Alveolar,Alveolar,CXCL17
MP31 Alveolar,Alveolar,SDR16C5
MP31 Alveolar,Alveolar,LAMP3
MP32 Skin-pigmentation,Skin-pigmentation,PHACTR1
MP32 Skin-pigmentation,Skin-pigmentation,TBC1D7
MP32 Skin-pigmentation,Skin-pigmentation,MLANA
MP32 Skin-pigmentation,Skin-pigmentation,ASAH1
MP32 Skin-pigmentation,Skin-pigmentation,DCT
MP32 Skin-pigmentation,Skin-pigmentation,LGALS3
MP32 Skin-pigmentation,Skin-pigmentation,CAPN3
MP32 Skin-pigmentation,Skin-pigmentation,GDF15
MP32 Skin-pigmentation,Skin-pigmentation,GPNMB
MP32 Skin-pigmentation,Skin-pigmentation,GPR137B
MP32 Skin-pigmentation,Skin-pigmentation,MBP
MP32 Skin-pigmentation,Skin-pigmentation,MITF
MP32 Skin-pigmentation,Skin-pigmentation,PMEL
MP32 Skin-pigmentation,Skin-pigmentation,TNFRSF14
MP32 Skin-pigmentation,Skin-pigmentation,BIRC7
MP32 Skin-pigmentation,Skin-pigmentation,CHCHD6
MP32 Skin-pigmentation,Skin-pigmentation,LINC00518
MP32 Skin-pigmentation,Skin-pigmentation,MXI1
MP32 Skin-pigmentation,Skin-pigmentation,NOV
MP32 Skin-pigmentation,Skin-pigmentation,TRPM1
MP32 Skin-pigmentation,Skin-pigmentation,APOE
MP32 Skin-pigmentation,Skin-pigmentation,FXYD3
MP32 Skin-pigmentation,Skin-pigmentation,ISG20
MP32 Skin-pigmentation,Skin-pigmentation,NBL1
MP32 Skin-pigmentation,Skin-pigmentation,PLP1
MP32 Skin-pigmentation,Skin-pigmentation,QDPR
MP32 Skin-pigmentation,Skin-pigmentation,QPCT
MP32 Skin-pigmentation,Skin-pigmentation,SH3BP5
MP32 Skin-pigmentation,Skin-pigmentation,TIMP2
MP32 Skin-pigmentation,Skin-pigmentation,TRIM2
MP32 Skin-pigmentation,Skin-pigmentation,AVPI1
MP32 Skin-pigmentation,Skin-pigmentation,DAB2
MP32 Skin-pigmentation,Skin-pigmentation,GJB1
MP32 Skin-pigmentation,Skin-pigmentation,GPR143
MP32 Skin-pigmentation,Skin-pigmentation,GYPC
MP32 Skin-pigmentation,Skin-pigmentation,LYST
MP32 Skin-pigmentation,Skin-pigmentation,NSG1
MP32 Skin-pigmentation,Skin-pigmentation,PIR
MP32 Skin-pigmentation,Skin-pigmentation,RAB38
MP32 Skin-pigmentation,Skin-pigmentation,RRAGD
MP32 Skin-pigmentation,Skin-pigmentation,S100B
MP32 Skin-pigmentation,Skin-pigmentation,SLC45A2
MP32 Skin-pigmentation,Skin-pigmentation,SNCA
MP32 Skin-pigmentation,Skin-pigmentation,TBC1D16
MP32 Skin-pigmentation,Skin-pigmentation,TYRP1
MP32 Skin-pigmentation,Skin-pigmentation,WIPI1
MP32 Skin-pigmentation,Skin-pigmentation,SPON2
MP32 Skin-pigmentation,Skin-pigmentation,ZNF106
MP32 Skin-pigmentation,Skin-pigmentation,BCL2A1
MP32 Skin-pigmentation,Skin-pigmentation,SNX10
MP33 RBCs,RBCs,BLVRB
MP33 RBCs,RBCs,HBB
MP33 RBCs,RBCs,APOC1
MP33 RBCs,RBCs,CA1
MP33 RBCs,RBCs,HBD
MP33 RBCs,RBCs,AHSP
MP33 RBCs,RBCs,PRDX2
MP33 RBCs,RBCs,REXO2
MP33 RBCs,RBCs,CNRIP1
MP33 RBCs,RBCs,HMBS
MP33 RBCs,RBCs,S100A6
MP33 RBCs,RBCs,HAGH
MP33 RBCs,RBCs,PLIN2
MP33 RBCs,RBCs,RHAG
MP33 RBCs,RBCs,CD36
MP33 RBCs,RBCs,FAM178B
MP33 RBCs,RBCs,FBXO7
MP33 RBCs,RBCs,FECH
MP33 RBCs,RBCs,HES6
MP33 RBCs,RBCs,KCNH2
MP33 RBCs,RBCs,KLF1
MP33 RBCs,RBCs,MYC
MP33 RBCs,RBCs,TFRC
MP33 RBCs,RBCs,ANK1
MP33 RBCs,RBCs,APOE
MP33 RBCs,RBCs,CASP3
MP33 RBCs,RBCs,CAST
MP33 RBCs,RBCs,HBA1
MP33 RBCs,RBCs,HBG2
MP33 RBCs,RBCs,MPC2
MP33 RBCs,RBCs,NFIA
MP33 RBCs,RBCs,STRADB
MP33 RBCs,RBCs,SYNGR1
MP33 RBCs,RBCs,TFR2
MP33 RBCs,RBCs,TMEM14C
MP33 RBCs,RBCs,UBAC1
MP33 RBCs,RBCs,CA2
MP33 RBCs,RBCs,GATA1
MP33 RBCs,RBCs,GYPB
MP33 RBCs,RBCs,HBA2
MP33 RBCs,RBCs,HBQ1
MP33 RBCs,RBCs,SMIM10
MP33 RBCs,RBCs,EPCAM
MP33 RBCs,RBCs,FAM45A
MP33 RBCs,RBCs,FCGRT
MP33 RBCs,RBCs,SLC25A37
MP33 RBCs,RBCs,LMNA
MP33 RBCs,RBCs,HBG1
MP33 RBCs,RBCs,UROD
MP33 RBCs,RBCs,CSF2RB
MP34 Platelet-activation,Platelet-activation,RGS18
MP34 Platelet-activation,Platelet-activation,PDLIM1
MP34 Platelet-activation,Platelet-activation,ITGA2B
MP34 Platelet-activation,Platelet-activation,PLEK
MP34 Platelet-activation,Platelet-activation,C6ORF25
MP34 Platelet-activation,Platelet-activation,FERMT3
MP34 Platelet-activation,Platelet-activation,RAP1B
MP34 Platelet-activation,Platelet-activation,CLU
MP34 Platelet-activation,Platelet-activation,LIMS1
MP34 Platelet-activation,Platelet-activation,CD9
MP34 Platelet-activation,Platelet-activation,NRGN
MP34 Platelet-activation,Platelet-activation,PBX1
MP34 Platelet-activation,Platelet-activation,PF4
MP34 Platelet-activation,Platelet-activation,PKM
MP34 Platelet-activation,Platelet-activation,RP11-354E11.2
MP34 Platelet-activation,Platelet-activation,SDPR
MP34 Platelet-activation,Platelet-activation,SLC44A1
MP34 Platelet-activation,Platelet-activation,STOM
MP34 Platelet-activation,Platelet-activation,TMSB4X
MP34 Platelet-activation,Platelet-activation,C2ORF88
MP34 Platelet-activation,Platelet-activation,CMTM5
MP34 Platelet-activation,Platelet-activation,GP9
MP34 Platelet-activation,Platelet-activation,GSN
MP34 Platelet-activation,Platelet-activation,HBD
MP34 Platelet-activation,Platelet-activation,LAT
MP34 Platelet-activation,Platelet-activation,MAX
MP34 Platelet-activation,Platelet-activation,VCL
MP34 Platelet-activation,Platelet-activation,ACTN1
MP34 Platelet-activation,Platelet-activation,DAD1
MP34 Platelet-activation,Platelet-activation,FYB
MP34 Platelet-activation,Platelet-activation,MGLL
MP34 Platelet-activation,Platelet-activation,MMRN1
MP34 Platelet-activation,Platelet-activation,PPIF
MP34 Platelet-activation,Platelet-activation,TPM1
MP34 Platelet-activation,Platelet-activation,BIN2
